netflix_titles.csv/show_id,netflix_titles.csv/type,netflix_titles.csv/title,netflix_titles.csv/director,netflix_titles.csv/cast,netflix_titles.csv/country,netflix_titles.csv/date_added,netflix_titles.csv/release_year,netflix_titles.csv/rating,netflix_titles.csv/duration,netflix_titles.csv/listed_in,netflix_titles.csv/description
b's11',b'TV Show',"b'Vendetta: Truth, Lies and The Mafia'",,,,2021-09-24,2021,b'TV-MA',b'1 Season',"b'Crime TV Shows, Docuseries, International TV Shows'","b'Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?'"
b's12',b'TV Show',b'Bangkok Breaking',b'Kongkiat Komesiri',"b'Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul'",,2021-09-23,2021,b'TV-MA',b'1 Season',"b'Crime TV Shows, International TV Shows, TV Action & Adventure'","b'Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.'"
b's13',b'Movie',b'Je Suis Karl',b'Christian Schwochow',"b'Luna Wedler, Jannis Niew\xc3\xb6hner, Milan Peschel, Edin Hasanovi\xc4\x87, Anna Fialov\xc3\xa1, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, M\xc3\xa9lanie Fouch\xc3\xa9, Elizaveta Maximov\xc3\xa1'","b'Germany, Czech Republic'",2021-09-23,2021,b'TV-MA',b'127 min',"b'Dramas, International Movies'","b'After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.'"
b's14',b'Movie',b'Confessions of an Invisible Girl',b'Bruno Garotti',"b'Klara Castanho, Lucca Picon, J\xc3\xbalia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo'",,2021-09-22,2021,b'TV-PG',b'91 min',"b'Children & Family Movies, Comedies'","b""When the clever but socially-awkward Tet\xc3\xaa joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."""
b's15',b'TV Show',b'Crime Stories: India Detectives',,,,2021-09-22,2021,b'TV-MA',b'1 Season',"b'British TV Shows, Crime TV Shows, Docuseries'",b'Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.'
b's16',b'TV Show',b'Dear White People',,"b'Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito'",b'United States',2021-09-22,2021,b'TV-MA',b'4 Seasons',"b'TV Comedies, TV Dramas'","b'Students of color navigate the daily slights and slippery politics of life at an Ivy League college that\'s not nearly as ""post-racial"" as it thinks.'"
b's17',b'Movie',"b""Europe's Most Dangerous Man: Otto Skorzeny in Spain""","b'Pedro de Echave Garc\xc3\xada, Pablo Azor\xc3\xadn Williams'",,,2021-09-22,2020,b'TV-MA',b'67 min',"b'Documentaries, International Movies'","b'Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.'"
b's18',b'TV Show',b'Falsa identidad',,"b'Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Y\xc3\xa1\xc3\xb1ez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, G\xc3\xa9raldine Baz\xc3\xa1n, Gabriela Roel, Marcus Ornellas'",b'Mexico',2021-09-22,2020,b'TV-MA',b'2 Seasons',"b'Crime TV Shows, Spanish-Language TV Shows, TV Dramas'",b'Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.'
b's19',b'Movie',b'Intrusion',b'Adam Salky',"b'Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain'",,2021-09-22,2021,b'TV-14',b'94 min',b'Thrillers',"b'After a deadly home invasion at a couple\xe2\x80\x99s new dream house, the traumatized wife searches for answers \xe2\x80\x94 and learns the real danger is just beginning.'"
b's20',b'TV Show',b'Jaguar',,"b'Blanca Su\xc3\xa1rez, Iv\xc3\xa1n Marcos, \xc3\x93scar Casas, Adri\xc3\xa1n Lastra, Francesc Garrido, Stefan Weinert, Julia M\xc3\xb6ller, Alicia Chojnowski'",,2021-09-22,2021,b'TV-MA',b'1 Season',"b'International TV Shows, Spanish-Language TV Shows, TV Action & Adventure'","b'In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.'"
b's21',b'TV Show',b'Monsters Inside: The 24 Faces of Billy Milligan',b'Olivier Megaton',,,2021-09-22,2021,b'TV-14',b'1 Season',"b'Crime TV Shows, Docuseries, International TV Shows'","b'In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.'"
b's22',b'TV Show',b'Resurrection: Ertugrul',,"b'Engin Altan D\xc3\xbczyatan, Serdar G\xc3\xb6khan, H\xc3\xbclya Darcan, Kaan Ta\xc5\x9faner, Esra Bilgi\xc3\xa7, Osman Soykut, Serdar Deniz, Cengiz Co\xc5\x9fkun, Reshad Strik, Hande Suba\xc5\x9f\xc4\xb1'",b'Turkey',2021-09-22,2018,b'TV-14',b'5 Seasons',"b'International TV Shows, TV Action & Adventure, TV Dramas'","b""When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."""
b's23',b'Movie',b'Avvai Shanmughi',b'K.S. Ravikumar',"b'Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam'",,2021-09-21,1996,b'TV-PG',b'161 min',"b'Comedies, International Movies'","b'Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.'"
b's24',b'Movie',b'Go! Go! Cory Carson: Chrissy Takes the Wheel',"b'Alex Woo, Stanley Moore'","b'Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim'",,2021-09-21,2021,b'TV-Y',b'61 min',b'Children & Family Movies',"b'From arcade games to sled days and hiccup cures, Cory Carson\xe2\x80\x99s curious little sister Chrissy speeds off on her own for fun and adventure all over town!'"
b's25',b'Movie',b'Jeans',b'S. Shankar',"b'Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar'",b'India',2021-09-21,1998,b'TV-14',b'166 min',"b'Comedies, International Movies, Romantic Movies'","b'When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.'"
b's26',b'TV Show',b'Love on the Spectrum',,b'Brooke Satchwell',b'Australia',2021-09-21,2021,b'TV-14',b'2 Seasons',"b'Docuseries, International TV Shows, Reality TV'","b'Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.'"
b's27',b'Movie',b'Minsara Kanavu',b'Rajiv Menon',"b'Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad'",,2021-09-21,1997,b'TV-PG',b'147 min',"b'Comedies, International Movies, Music & Musicals'",b'A tangled love triangle ensues when a man falls for a woman studying to become a nun \xe2\x80\x94 and she falls for the friend he enlists to help him pursue her.'
b's28',b'Movie',b'Grown Ups',b'Dennis Dugan',"b'Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten'",b'United States',2021-09-20,2010,b'PG-13',b'103 min',b'Comedies',"b'Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.'"
b's29',b'Movie',b'Dark Skies',b'Scott Stewart',"b'Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan'",b'United States',2021-09-19,2013,b'PG-13',b'97 min',"b'Horror Movies, Sci-Fi & Fantasy'","b'A family\xe2\x80\x99s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.'"
b's30',b'Movie',b'Paranoia',b'Robert Luketic',"b'Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan'","b'United States, India, France'",2021-09-19,2013,b'PG-13',b'106 min',b'Thrillers',"b""Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."""
b's31',b'Movie',b'Ankahi Kahaniya',"b'Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary'","b'Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh'",,2021-09-17,2021,b'TV-14',b'111 min',"b'Dramas, Independent Movies, International Movies'","b'As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.'"
b's32',b'TV Show',b'Chicago Party Aunt',,"b""Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske""",,2021-09-17,2021,b'TV-MA',b'1 Season',b'TV Comedies',b'Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood \xe2\x80\x94 and a soft spot for her soul-searching nephew.'
b's33',b'TV Show',b'Sex Education',,"b'Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie'",b'United Kingdom',2021-09-17,2020,b'TV-MA',b'3 Seasons',"b'British TV Shows, International TV Shows, TV Comedies'","b'Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.'"
b's34',b'TV Show',b'Squid Game',,"b'Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi'",,2021-09-17,2021,b'TV-MA',b'1 Season',"b'International TV Shows, TV Dramas, TV Thrillers'","b""Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits \xe2\x80\x94 with deadly high stakes."""
b's35',b'TV Show',b'Tayo and Little Wizards',,"b'Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim'",,2021-09-17,2020,b'TV-Y7',b'1 Season',"b""Kids' TV""",b'Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.'
b's36',b'Movie',b'The Father Who Moves Mountains',b'Daniel Sandu',"b'Adrian Titieni, Elena Purea, Judith State, Valeriu Andriu\xc8\x9b\xc4\x83, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota'",,2021-09-17,2021,b'TV-MA',b'110 min',"b'Dramas, International Movies, Thrillers'","b'When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing \xe2\x80\x94 and risk everything \xe2\x80\x94 to find him.'"
b's37',b'Movie',b'The Stronghold',b'C\xc3\xa9dric Jimenez',"b'Gilles Lellouche, Karim Leklou, Fran\xc3\xa7ois Civil, Ad\xc3\xa8le Exarchopoulos, Kenza Fortas, Cyril Lecomte, Micha\xc3\xabl Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot'",,2021-09-17,2021,b'TV-MA',b'105 min',"b'Action & Adventure, Dramas, International Movies'","b'Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.'"
b's38',b'TV Show',b'Angry Birds',,"b'Antti P\xc3\xa4\xc3\xa4kk\xc3\xb6nen, Helj\xc3\xa4 Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen'",b'Finland',2021-09-16,2018,b'TV-Y7',b'1 Season',"b""Kids' TV, TV Comedies""","b'Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.'"
b's39',b'Movie',b'Birth of the Dragon',b'George Nolfi',"b'Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia'","b'China, Canada, United States'",2021-09-16,2017,b'PG-13',b'96 min',"b'Action & Adventure, Dramas'","b'A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.'"
b's40',b'TV Show',b'Chhota Bheem',,"b'Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil'",b'India',2021-09-16,2021,b'TV-Y7',b'3 Seasons',"b""Kids' TV""","b'A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.'"
b's41',b'TV Show',b'He-Man and the Masters of the Universe',,"b'Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore'",b'United States',2021-09-16,2021,b'TV-Y7',b'1 Season',"b""Kids' TV, TV Sci-Fi & Fantasy""",b'Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull \xe2\x80\x94 and their destiny to defend Eternia from sinister Skeletor.'
b's42',b'Movie',b'Jaws',b'Steven Spielberg',"b'Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman'",b'United States',2021-09-16,1975,b'PG',b'124 min',"b'Action & Adventure, Classic Movies, Dramas'","b'When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.'"
b's43',b'Movie',b'Jaws 2',b'Jeannot Szwarc',"b'Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French'",b'United States',2021-09-16,1978,b'PG',b'116 min',"b'Dramas, Horror Movies, Thrillers'","b'Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.'"
b's44',b'Movie',b'Jaws 3',b'Joe Alves',"b'Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer'",b'United States',2021-09-16,1983,b'PG',b'98 min',"b'Action & Adventure, Horror Movies, Thrillers'","b'After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.'"
b's45',b'Movie',b'Jaws: The Revenge',b'Joseph Sargent',"b'Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield'",b'United States',2021-09-16,1987,b'PG-13',b'91 min',"b'Action & Adventure, Horror Movies, Thrillers'","b'After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean \xe2\x80\x93 but a great white shark follows her there.'"
b's46',b'Movie',b'My Heroes Were Cowboys',b'Tyler Greco',,,2021-09-16,2021,b'PG',b'23 min',b'Documentaries',"b""Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."""
b's47',b'Movie',b'Safe House',b'Daniel Espinosa',"b'Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rub\xc3\xa9n Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman'","b'South Africa, United States, Japan'",2021-09-16,2012,b'R',b'115 min',b'Action & Adventure',"b""Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location."""
b's48',b'TV Show',b'The Smart Money Woman',b'Bunmi Ajakaiye',"b'Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson'",,2021-09-16,2020,b'TV-MA',b'1 Season',"b'International TV Shows, Romantic TV Shows, TV Comedies'","b""Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."""
b's49',b'Movie',b'Training Day',b'Antoine Fuqua',"b'Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes'",b'United States',2021-09-16,2001,b'R',b'122 min',"b'Dramas, Thrillers'","b""A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice."""
b's50',b'TV Show',b'Castle and Castle',,"b'Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi'",b'Nigeria',2021-09-15,2021,b'TV-MA',b'2 Seasons',"b'International TV Shows, TV Dramas'","b'A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.'"
b's51',b'TV Show',b'Dharmakshetra',,"b'Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai'",b'India',2021-09-15,2014,b'TV-PG',b'1 Season',"b'International TV Shows, TV Dramas, TV Sci-Fi & Fantasy'","b""After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."""
b's52',b'Movie',b'InuYasha the Movie 2: The Castle Beyond the Looking Glass',b'Toshiya Shinohara',"b'Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami'",b'Japan',2021-09-15,2002,b'TV-14',b'99 min',"b'Action & Adventure, Anime Features, International Movies'","b'With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.'"
b's53',b'Movie',b'InuYasha the Movie 3: Swords of an Honorable Ruler',b'Toshiya Shinohara',"b'Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue'",b'Japan',2021-09-15,2003,b'TV-14',b'99 min',"b'Action & Adventure, Anime Features, International Movies'",b'The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.'
b's54',b'Movie',b'InuYasha the Movie 4: Fire on the Mystic Island',b'Toshiya Shinohara',"b'Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna'",b'Japan',2021-09-15,2004,b'TV-PG',b'88 min',"b'Action & Adventure, Anime Features, International Movies'","b'Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.'"
b's55',b'Movie',b'InuYasha the Movie: Affections Touching Across Time',b'Toshiya Shinohara',"b'Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki'",b'Japan',2021-09-15,2001,b'TV-PG',b'100 min',"b'Action & Adventure, Anime Features, International Movies'","b""A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."""
b's56',b'TV Show',b'Nailed It',,"b'Nicole Byer, Jacques Torres'",b'United States',2021-09-15,2021,b'TV-PG',b'6 Seasons',b'Reality TV',"b""Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."""
b's57',b'Movie',b'Naruto Shippuden the Movie: Blood Prison',b'Masahiko Murata',"b'Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki'",b'Japan',2021-09-15,2011,b'TV-14',b'102 min',"b'Action & Adventure, Anime Features, International Movies'","b'Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.'"
b's58',b'Movie',b'Naruto Shipp\xc3\xbbden the Movie: Bonds',b'Hajime Kamegaki',"b'Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada'",b'Japan',2021-09-15,2008,b'TV-PG',b'93 min',"b'Action & Adventure, Anime Features, International Movies'","b""When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."""
b's59',b'Movie',b'Naruto Shipp\xc3\xbbden the Movie: The Will of Fire',b'Masahiko Murata',"b'Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura'",b'Japan',2021-09-15,2009,b'TV-PG',b'96 min',"b'Action & Adventure, Anime Features, International Movies'","b'When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.'"
b's60',b'Movie',b'Naruto Shippuden: The Movie',b'Hajime Kamegaki',"b'Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato'",b'Japan',2021-09-15,2007,b'TV-PG',b'95 min',"b'Action & Adventure, Anime Features, International Movies'","b""The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon \xe2\x80\x93 but to do so, he must die."""
